areaType,areaName,areaCode,date,hospitalCases
overview,United Kingdom,K02000001,2020-07-28,1285
overview,United Kingdom,K02000001,2020-07-27,1281
overview,United Kingdom,K02000001,2020-07-26,1296
overview,United Kingdom,K02000001,2020-07-25,1267
overview,United Kingdom,K02000001,2020-07-24,1356
overview,United Kingdom,K02000001,2020-07-23,1453
overview,United Kingdom,K02000001,2020-07-22,1645
overview,United Kingdom,K02000001,2020-07-21,1519
overview,United Kingdom,K02000001,2020-07-20,1610
overview,United Kingdom,K02000001,2020-07-19,1623
overview,United Kingdom,K02000001,2020-07-18,1658
overview,United Kingdom,K02000001,2020-07-17,1683
overview,United Kingdom,K02000001,2020-07-16,1699
overview,United Kingdom,K02000001,2020-07-15,1841
overview,United Kingdom,K02000001,2020-07-14,1871
overview,United Kingdom,K02000001,2020-07-13,1967
overview,United Kingdom,K02000001,2020-07-12,1958
overview,United Kingdom,K02000001,2020-07-11,1950
overview,United Kingdom,K02000001,2020-07-10,2098
overview,United Kingdom,K02000001,2020-07-09,2185
overview,United Kingdom,K02000001,2020-07-08,2264
overview,United Kingdom,K02000001,2020-07-07,2403
overview,United Kingdom,K02000001,2020-07-06,2505
overview,United Kingdom,K02000001,2020-07-05,2558
overview,United Kingdom,K02000001,2020-07-04,2597
overview,United Kingdom,K02000001,2020-07-03,2729
overview,United Kingdom,K02000001,2020-07-02,2853
overview,United Kingdom,K02000001,2020-07-01,2974
overview,United Kingdom,K02000001,2020-06-30,3155
overview,United Kingdom,K02000001,2020-06-29,3500
overview,United Kingdom,K02000001,2020-06-28,3317
overview,United Kingdom,K02000001,2020-06-27,3293
overview,United Kingdom,K02000001,2020-06-26,3370
overview,United Kingdom,K02000001,2020-06-25,3593
overview,United Kingdom,K02000001,2020-06-24,3739
overview,United Kingdom,K02000001,2020-06-23,3849
overview,United Kingdom,K02000001,2020-06-22,3968
overview,United Kingdom,K02000001,2020-06-21,3905
overview,United Kingdom,K02000001,2020-06-20,3933
overview,United Kingdom,K02000001,2020-06-19,4085
overview,United Kingdom,K02000001,2020-06-18,4223
overview,United Kingdom,K02000001,2020-06-17,4354
overview,United Kingdom,K02000001,2020-06-16,4496
overview,United Kingdom,K02000001,2020-06-15,4496
overview,United Kingdom,K02000001,2020-06-14,4526
overview,United Kingdom,K02000001,2020-06-13,4527
overview,United Kingdom,K02000001,2020-06-12,4669
overview,United Kingdom,K02000001,2020-06-11,4740
overview,United Kingdom,K02000001,2020-06-10,4981
overview,United Kingdom,K02000001,2020-06-09,5239
overview,United Kingdom,K02000001,2020-06-08,5419
overview,United Kingdom,K02000001,2020-06-07,5440
overview,United Kingdom,K02000001,2020-06-06,5642
overview,United Kingdom,K02000001,2020-06-05,5852
overview,United Kingdom,K02000001,2020-06-04,6007
overview,United Kingdom,K02000001,2020-06-03,6266
overview,United Kingdom,K02000001,2020-06-02,6462
overview,United Kingdom,K02000001,2020-06-01,6647
overview,United Kingdom,K02000001,2020-05-31,6599
overview,United Kingdom,K02000001,2020-05-30,6632
overview,United Kingdom,K02000001,2020-05-29,6922
overview,United Kingdom,K02000001,2020-05-28,7225
overview,United Kingdom,K02000001,2020-05-27,7488
overview,United Kingdom,K02000001,2020-05-26,7813
overview,United Kingdom,K02000001,2020-05-25,7908
overview,United Kingdom,K02000001,2020-05-24,7885
overview,United Kingdom,K02000001,2020-05-23,7882
overview,United Kingdom,K02000001,2020-05-22,8246
overview,United Kingdom,K02000001,2020-05-21,8281
overview,United Kingdom,K02000001,2020-05-20,8526
overview,United Kingdom,K02000001,2020-05-19,8926
overview,United Kingdom,K02000001,2020-05-18,9107
overview,United Kingdom,K02000001,2020-05-17,9135
overview,United Kingdom,K02000001,2020-05-16,9116
overview,United Kingdom,K02000001,2020-05-15,9508
overview,United Kingdom,K02000001,2020-05-14,9713
overview,United Kingdom,K02000001,2020-05-13,10100
overview,United Kingdom,K02000001,2020-05-12,10355
overview,United Kingdom,K02000001,2020-05-11,10672
overview,United Kingdom,K02000001,2020-05-10,10446
overview,United Kingdom,K02000001,2020-05-09,10716
overview,United Kingdom,K02000001,2020-05-08,10703
overview,United Kingdom,K02000001,2020-05-07,11176
overview,United Kingdom,K02000001,2020-05-06,11697
overview,United Kingdom,K02000001,2020-05-05,12167
overview,United Kingdom,K02000001,2020-05-04,12509
overview,United Kingdom,K02000001,2020-05-03,12623
overview,United Kingdom,K02000001,2020-05-02,12780
overview,United Kingdom,K02000001,2020-05-01,13065
overview,United Kingdom,K02000001,2020-04-30,13490
overview,United Kingdom,K02000001,2020-04-29,13865
overview,United Kingdom,K02000001,2020-04-28,14125
overview,United Kingdom,K02000001,2020-04-27,14800
overview,United Kingdom,K02000001,2020-04-26,14705
overview,United Kingdom,K02000001,2020-04-25,14810
overview,United Kingdom,K02000001,2020-04-24,15348
overview,United Kingdom,K02000001,2020-04-23,15968
overview,United Kingdom,K02000001,2020-04-22,16533
